"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸"
"51906","zh-CN","æÅıû×ù?ıÌãÓ?","https://chinese.visitseoul.net/nature/Yeonhui-Forest-Rest-Area/CNPyia5so?utm_source=seoulopendata&utm_medium=nature&utm_content=CNPyia5so"," âÏ?ã¼à¤ÓŞ??æÅıûÔ× ","03718 âÏ?ã¼à¤ÓŞ??æÅıûÔ×  ","?ßäàòã¼Î¡£¨Íë?Î·×â?£©02-330-1354","https://www.sdm.go.kr/culture/attraction/sub2110.do","","ßÈÒ´?Û¯","îïÒ´ÜôıÌ","î¤ò¢?3??ûğ?ó×3?õóÏ¢ã«ñ¦à¤ÓŞ?04ÖØŞä?÷éŞÍ£¬î¤à¤ÓŞ?ÜÁËíá¶İÂ??ûğ?øîøÖó×ù»?ı¨£¬ÜÆú¼706m"
"45405","zh-CN","?ü£?Ë°Íë?","https://chinese.visitseoul.net/nature/2024-yanghwahangang/CNPe5w2yc?utm_source=seoulopendata&utm_medium=nature&utm_content=CNPe5w2yc"," âÏ?ã¼çµÔôøİ?ÓÑß£Ô×98-1? ","07231 âÏ?ã¼çµÔôøİ??Ôğ? 221(ÓÑß£Ô× 96-1) ","+82-2-3780-0581~3","https://hangang.seoul.go.kr/www/contents/678.do?mid=486","îïÒ´?Û¯","","","ò¢?9?? à¹êı?ó× 2?õóÏ¢,  702m"
"45406","zh-TW","åÅü£ùÓË°Íëê®","https://tchinese.visitseoul.net/nature/2024-yanghwahangang/TCPe5w2yc?utm_source=seoulopendata&utm_medium=nature&utm_content=TCPe5w2yc"," âÏì³ã¼çµÔôøİÏ¡ÓÑß£Ô×98-1ûÜ ","07231 âÏì³ã¼çµÔôøİÏ¡ÖÜÔğÖØ221(ÓÑß£Ô× 96-1) ","+82-2-3780-0581~3","https://hangang.seoul.go.kr/www/contents/678.do?mid=486","Ò´ğûÙíıÌ","","","ò¢ôÑ9ûÜàÊ à¹ë´Óöó× 2ûÜõóÏ¢,  702m"
"24088","en","Yongma Falls Park","https://english.visitseoul.net/nature/Yongma-Falls-Park/ENP001943?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001943","131-812 San 1-4, Myeonmok-dong, Jungnang-gu, Seoul ","02257 250-12, Yongmasan-ro, Jungnang-gu, Seoul ","+82-2-2094-2965","http://www.jungnang.go.kr/portal/main/contents.do?menuNo=200599","Open daily For more details, please refer to our website (About Artificial Falls Operation Hours)","","","Subway Line 7  Yongmasan Station  Exit 1,  325m"
"28684","zh-TW","áÈêÅÖØ","https://tchinese.visitseoul.net/nature/áÈêÅÖØ/TCP028658?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP028658"," âÏì³ã¼ñéÏ¡ÑõóÚÔ×51-1ûÜ ","04528 âÏì³ñéÏ¡áÈêÅÖØ3 ","","","","","","ò¢ôÑ4ûÜàÊ üåúçó× 5ûÜõóÏ¢,  294m"
"27786","zh-CN","à¤äó?","https://chinese.visitseoul.net/nature/à¤äó?/CNP027688?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP027688","137-040 âÏ?ã¼ßúõ®??øİÔ×115-5 ","06500 âÏ?ã¼ßúõ®?ãæ?øİÖØ11Ê¶40 (?øİÔ×) ","+82-2-3780-0541","","24á³?","","îïÒ´ÙéıÌ","ò¢?9?? ãæ?øİó× 1?õóÏ¢,  1.1km"
"37692","zh-CN","ò¹?ß£","https://chinese.visitseoul.net/nature/ò¹?ß£/CNP037532?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP037532"," âÏ??ô¹?ãæêÅÔ× ","08037 âÏ??ô¹?ãæêÅÔ× ","","","","","","ò¢?2?? ãæïÍä¨í®ÖØÏ¢ó×,  ã«ñ¦98?ÍëÎß?ò¸ãæïÍipen house 1Ñ¢ÍëéÕÍëÎß?ó×,  332m"
"36845","ja","«¯«à«½«ó«µ(ÑÑà¹ŞÑ)","https://japanese.visitseoul.net/nature/ÑÑà¹ŞÑ/JPP036843?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP036843"," «½«¦«ëã¼ñ£ÖØ??ĞñÔ×196-2 ","03000 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«Ô«Ü«ó«®«ë137 (?ĞñÔ×)","+82-2-395-9911","http://www.geumsunsa.org/","","","","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙİ¤«½«¦«ë??)¡¹?3ÛãõóÏ¢,  1.1km"
"37486","zh-TW","äÌß£","https://tchinese.visitseoul.net/nature/âÏ?äÌß£/TCP037364?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP037364"," âÏì³à¤ÓŞÚ¦Ï¡ÜåêªÔ×ß£2-1 ","03721 âÏì³ã¼à¤ÓŞÚ¦Ï¡ÜåêªŞÑÖØ75-66ûÜ£¨ÜåêªÔ×£© ","+82-2-330-1114","","","Øßìí","","ò¢ôÑ3ûÜàÊ Ùìä¿Öºó× 4ûÜõóÏ¢,  633m"
"51178","ko","¿ë¸¶»ê ½ºÄ«ÀÌ¿öÅ© Àü¸Á´ë","https://korean.visitseoul.net/nature/YongmasanSkywalk/KOP998h6q?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP998h6q"," ¼­¿ï Áß¶û±¸ ¸é¸ñµ¿ ¼­¿ïµÑ·¹±æ 4ÄÚ½º(¸Á¿ì?¿ë¸¶»ê) ³» ¿ë¸¶»ê ½ºÄ«ÀÌ¿öÅ© Àü¸Á´ë ","02196 ¼­¿ï Áß¶û±¸ ¸é¸ñµ¿ ¼­¿ïµÑ·¹±æ 4ÄÚ½º(¸Á¿ì?¿ë¸¶»ê) ³» ¿ë¸¶»ê ½ºÄ«ÀÌ¿öÅ© Àü¸Á´ë ","02-2094-2382 ","https://gil.seoul.go.kr/index.do","½Ã¹Î ÀÌ¿ë ¸ğ´ÏÅÍ¸µ ±â°£ 9:00-17:00 ÀÓ½Ã °³¹æ (2025³â 11¿ù 28ÀÏ±îÁö)  *ÀÌÈÄ Àü¸é °³¹æ ¿¹Á¤","","","ÁöÇÏÃ¶ 7È£¼± »ç°¡Á¤¿ª 4¹øÃâ±¸, 2.4km"
"36977","zh-TW","à¤âŞÕ¤Ê¶","https://tchinese.visitseoul.net/nature/à¤âŞÕ¤Ê¶/TCP036973?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP036973"," âÏì³ã¼ñ¤ÖØÏ¡ÜåìÌÔ×1-1 ","03193 âÏì³ñ¤ÖØÏ¡à¤âŞÕ¤Ê¶ 75 ","+82-120","","","","","ò¢ôÑ1/3/5ûÜàÊ  ñ¤ÖØ3Ê¶ó×  7ûÜõóÏ¢,  250m"
"3704","zh-TW","Õ­ß£Íëê®","https://tchinese.visitseoul.net/nature/Õ­ß£Íëê®-³«»ê°ø¿ø/TCP003700?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP003700","110-510 âÏì³ã¼ñ£ÖØÏ¡ÔÔâıÔ× ß£2-10","03085 âÏì³ã¼ñ£ÖØÏ¡Õ­ß£Ê¶41 ","+82-2-743-7985","http://parks.seoul.go.kr/template/sub/naksan.do","Õ­ß£Íëê®î÷ÕÂÎ½ 09:00~18:00 (ÔÏÌù 09:00~17:00) (KST)","","","ò¢ôÑ4ûÜàÊ  û³ûùó×  2ûÜõóÏ¢,  491m"
"45692","ko","°æÃá¼±½£±æ","https://korean.visitseoul.net/nature/2024gcsforest/KOPi8pv19?utm_source=seoulopendata&utm_medium=nature&utm_content=KOPi8pv19"," ¼­¿ï ³ë¿ø±¸ °ø¸ªµ¿ 29-51 ","01802 ³ë¿ø±¸ È­¶û·Î 608 ","02-3783-5977","","24½Ã°£ ¿¬Áß¹«ÈŞ","","","ÁöÇÏÃ¶ 6È£¼± È­¶û´ë¿ª 4¹ø Ãâ±¸,  686m"
"27720","en","Achasan Mountain","https://english.visitseoul.net/nature/AchasanMountain/ENP027689?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP027689","143-816 3-19, Guui-dong, Gwangjin-gu, Seoul ","04948 135, Yeonghwasa-ro, Gwangjin-gu, Seoul ","+82-2-450-1395","","00:00 - 24:00","Daily","","Subway Line 5  Achasan Station  Exit 2,  1km  Subway Line 5  Gwangnaru Station  Exit 1,  1.1km"
"49636","zh-TW","×£ß£ä®ÔÛïÔê®","https://tchinese.visitseoul.net/nature/Yongsan-ChildrensGarden/TCPctphmy?utm_source=seoulopendata&utm_medium=nature&utm_content=TCPctphmy"," âÏì³÷åÜ¬ã¼×£ß£Ï¡ùÓË°ÓŞÖØ38Ê¶21 ","04386 âÏì³÷åÜ¬ã¼×£ß£Ï¡ùÓË°ÓŞÖØ38Ê¶21 ","+82-70-8833-5800","https://yongsanparkstory.kr/","09:00ò¸18:00 *ìıíŞï¸ò­ãÁÊà 17:00","","ØßñÎìé *å´ñÎìéãÀÏĞïÒÊ£ìí£¬öÎÌ°ìíıÌÎ½¡£","ò¢ôÑ4ûÜàÊãæ×£ß£ó×1ûÜõóÏ¢£¬465m"
"1308","en","Yongsan Park","https://english.visitseoul.net/nature/YongsanPark/ENP001306?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001306","140-026 68-90, Yongsan-dong 6(yuk)-ga, Yongsan-gu, Seoul, Korea ","04383 185, Seobinggo-ro, Yongsan-gu, Seoul, Korea (¿ë»ê°ø¿ø) ","+82-2-792-5661","	","Open 24/7 ","Monday~Sunday",""," Subway Lines 4 / Gyeongui-Jungang Line Ichon Station Exit 2, 724m Subway Gyeongui-Jungang Line Seobinggo station Exit 1, 678m"
"27491","zh-CN","âÏ?ãÕÚª?","https://chinese.visitseoul.net/nature/âÏ?ãÕÚª?/CNP027397?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP027397"," âÏ?÷å?ã¼Ë°à¤?Ø«ÍÛÔ× 812 ","07789 âÏ?÷å?ã¼Ë°à¤?Ø«ÍÛÔ×ÖØ 161 âÏ?ãÕÚª? ","+82-2-2104-9716","http://botanicpark.seoul.go.kr/","3~10êÅ 09:30~18:00(ìı?ï¸ò­ò¸17:00 ) (KST) 11~2êÅ 09:30~17:00(ìı?ï¸ò­ò¸16:00 ) (KST)","","Íë?£¨?Û¯×ù¡¢ûÉâ©?¡¢?ò¢?£©îïÒ´ÙéıÌ ãÕÚª?£¨ñ«??£©£ºØßñ²ìé¡¢õğ?¡¢ñéõÕ?îñìéô¸Ğà?ô¸ıÌãÓ","ò¢?9??/Ïõ??ÖØ Ø«ÍÛÔ¤Ï¢ó× 3?õóÏ¢,  524m"
"38813","zh-CN","?Üèß£å¨ÌØ","https://chinese.visitseoul.net/nature/?Üèß£å¨ÌØ/CNP038786?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP038786"," âÏ?ã¼àò??ÑÑûÉÔ×4Ê¶1539 ","04743 âÏ?àò????ÓÑÖØ362 ","+82-2-2286-6061","","00:00 ~ 24:00","Øßìí","îïÒ´ÙéıÌ","ò¢? ÌÈ??ñéäç? ?Üèó× 1?õóÏ¢,  886m"
"37378","en","Ansan Mountain","https://english.visitseoul.net/nature/Ansan-Mountain/ENP037364?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP037364"," 2-1 San, Bongwon-dong, Seodaemun-gu, Seoul ","03721 75-66 Bongwonsa-gil, Seodaemun-gu, Seoul (Bongwon-dong) ","+82-2-330-1114","","Daily","","","Subway Line 3  Muakjae Station  Exit 4,  633m"
"27485","zh-TW","âÏì³ãÕÚªê®","https://tchinese.visitseoul.net/nature/âÏì³ãÕÚªê®/TCP027397?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP027397"," âÏì³ã¼Ë°à¤Ï¡Ø«ÍÛÔ×812 ","07789 âÏì³ã¼Ë°à¤Ï¡Ø«ÍÛÔÔÖØ161 (Ø«ÍÛÔ×) ","+82-2-2104-9716","http://botanicpark.seoul.go.kr/","Íëê®(ËÒÛ¯×ù¡¢ûÉâ©ê®¡¢ã¥ò¢ê®)£º24á³ãÁËÒÛ¯ ãÕÚªê®(ñ«ğ¹ê®)£º3~10êÅ 09:00~18:00 (KST) / 11~2êÅ 09:00~17:00 (KST) * øÍê®îñìéá³ãÁìıíŞï¸ò­","","Íëê®(ËÒÛ¯×ù¡¢ûÉâ©ê®¡¢ã¥ò¢ê®)£ºîïÒ´ÙíıÌ ãÕÚªê®(ñ«ğ¹ê®)£ºñÎìé¡¢õğï½/ñéõÕîñìéô¸æ¨Ó×ìíıÌÎ½","ò¢ôÑÑ¦íŞôÑÖØ/9ûÜàÊ Ø«ÍÛÔ¤Ï¢ó× 3ûÜõóÏ¢,  524m"
"48636","ko","¾È¾çÃµ","https://korean.visitseoul.net/nature/Anyangcheon/KOPxjlehm?utm_source=seoulopendata&utm_medium=nature&utm_content=KOPxjlehm"," ¼­¿ï ¿µµîÆ÷±¸ ¾çÆòµ¿ 498 ","07277 ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¿µµîÆ÷·Î 2 (¾çÆòµ¿) ","","","","","","ÁöÇÏÃ¶ 5È£¼± ¿À¸ñ±³¿ª 5¹ø Ãâ±¸,  465m"
"48637","en","Anyangcheon Stream","https://english.visitseoul.net/nature/Anyangcheon/ENPxjlehm?utm_source=seoulopendata&utm_medium=nature&utm_content=ENPxjlehm"," ¼­¿ï ¿µµîÆ÷±¸ ¾çÆòµ¿ 498 ","07277 2, Yeongdeungpo-ro, Yeongdeungpo-gu, Seoul ","","","","","","Subway Line 5, Omokgyo Station, Exit 5,  468m"
"42009","ko","³²»ê¿¹Àå°ø¿ø","https://korean.visitseoul.net/nature/³²»ê¿¹Àå°ø¿ø/KOP042009?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP042009"," ¼­¿ï Áß±¸ ¿¹Àåµ¿ 4-1 ","04628 ¼­¿ï Áß±¸ Åğ°è·Î26±æ 36 (¿¹Àåµ¿) ","","","","","","ÁöÇÏÃ¶ 4È£¼± ¸íµ¿¿ª 1¹ø Ãâ±¸,  211m"
"36980","zh-CN","à¤âŞ?Ê¶","https://chinese.visitseoul.net/nature/à¤âŞ?Ê¶/CNP036973?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP036973"," âÏ?ã¼?ÖØ?ÜåìÌÔ×1-1 ","03193 âÏ??ÖØ?à¤âŞ?Ê¶ 75 ","+82-120","","","","","ò¢?1/3/5??  ?ÖØ3Ê¶ó×  7?õóÏ¢,  250m"
"15765","ko","¿ë¾çºÀÀúÁ¤°ø¿ø","https://korean.visitseoul.net/nature/³ë·®Áø-¿ëºÀÁ¤±Ù¸°°ø¿ø/KOP015765?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP015765","156060 ¼­¿ïÆ¯º°½Ã µ¿ÀÛ±¸ º»µ¿ »ê3-9 ¿ë¾çºÀÀúÁ¤°ø¿ø","  ","","","","","","ÁöÇÏÃ¶ 9È£¼± ³ëµé¿ª 3¹øÃâ±¸, 650m "
"48659","ja","«¢«Ë«ã«ó«Á«ç«ó(äÌå×ô¹)","https://japanese.visitseoul.net/nature/Anyangcheon/JPPxjlehm?utm_source=seoulopendata&utm_medium=nature&utm_content=JPPxjlehm"," «½«¦«ëã¼«è«ó«É«¥«ó«İ?«ä«ó«Ô«ç«óÔ×£¨åÅøÀ£©498 ","07277 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«ó«É«¥«ó«İ(çµÔôøİ)ÖØ2 ","","","","","","ò¢ù»?5?àÊ¡¸«ª«â«Ã«­«ç(ÙÊÔ×ê¡ÔÑíŞîñ)¡¹?5ÛãõóÏ¢,  465m"
"35072","ko","³­ÁöÃµ°ø¿ø","https://korean.visitseoul.net/nature/³­ÁöÃµ°ø¿ø/KOP035072?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP035072"," ¼­¿ï ¸¶Æ÷±¸ »ó¾Ïµ¿ 1538 ","03900 ¼­¿ï ¸¶Æ÷±¸ ¿ùµåÄÅ·Î 365 (³­ÁöÃµ°ø¿ø ÀÜµğ±¤Àå¸ÅÁ¡) ³­ÁöÃµ°ø¿ø ÁÖÂ÷Àå","","","","","","ÁöÇÏÃ¶ 6È£¼± ¿ùµåÄÅ°æ±âÀå¿ª 4¹ø Ãâ±¸,  696m"
"48661","zh-CN","äÌ?ô¹","https://chinese.visitseoul.net/nature/Anyangcheon/CNPxjlehm?utm_source=seoulopendata&utm_medium=nature&utm_content=CNPxjlehm"," âÏ?çµÔôøİ??øÀÔ×498 ","07277 âÏ?÷å?ã¼çµÔôøİ?çµÔôøİÖØ 2 ","","","","","","ò¢?5?? çüÙÊ?ó× 5?õóÏ¢,  465m"
"48662","zh-TW","äÌå×ô¹","https://tchinese.visitseoul.net/nature/Anyangcheon/TCPxjlehm?utm_source=seoulopendata&utm_medium=nature&utm_content=TCPxjlehm"," âÏì³çµÔôøİÏ¡åÅøÀÔ×498 ","07277 âÏì³÷åÜ¬ã¼çµÔôøİÏ¡çµÔôøİÖØ 2 ","","","","","","ò¢ôÑ5ûÜàÊ çüÙÊÎéó× 5ûÜõóÏ¢,  465m"
"39306","ko","ÀÎ¿Õ»ê ¾ß°æ","https://korean.visitseoul.net/nature/ÀÎ¿Õ»ê¾ß°æ/KOP039306?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP039306"," ¼­¿ï Á¾·Î±¸ ¹«¾Çµ¿ »ê 2-7 ","03023 ¼­¿ï Á¾·Î±¸ »çÁ÷µ¿ »ê 1-24 ÀÎ¿Õ»ê µî»ê·Î ÀÔ±¸ ","02-2148-1114","","","¸ÅÀÏ","","ÁöÇÏÃ¶ 3È£¼± µ¶¸³¹®¿ª 3-1¹ø Ãâ±¸,  825m"
"29800","ko","Áø°ü»ç°è°î","https://korean.visitseoul.net/nature/Áø°ü»ç°è°î/KOP029800?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP029800","122-200 ¼­¿ï ÀºÆò±¸ Áø°üµ¿ 354 ","03308 ¼­¿ï ÀºÆò±¸ Áø°ü±æ 73 (Áø°üµ¿, Áø°ü»ç) ","","","","","","ÁöÇÏÃ¶ 3È£¼± ±¸ÆÄ¹ß¿ª 2¹ø Ãâ±¸, 7211¹ø ¹ö½º Å¾½Â ÈÄ ÇÏ³ª°í,»ïÃµ»ç,Áø°ü»çÀÔ±¸,  1.4km "
"16348","ja","«Ï«Ì«ëÍëê®å¨ÌØ","https://japanese.visitseoul.net/nature/haneul-park-at-night-jp/JPP016322?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016322","121-832 «½«¦«ëã¼Ø«øİ?ß¾äÛÔ× 482","03900 «½«¦«ëã¼«Ş«İ(Ø«øİ)?«Ï«Ì«ë«´«ó«¦«©«ó«í95 (ß¾äÛÔ×)","+82-2-300-5501","https://parks.seoul.go.kr/template/sub/worldcuppark.do","?ìí 05:00-20:30 * ßÙá¬ªÏ«¦«§«Ö«µ«¤«Èª«ªéª´ü¬ìãª¯ªÀªµª¤¡£","","","ò¢ù»?6?àÊ¡¸«ï?«ë«É«««Ã«×¡¤«­«ç«ó«®«¸«ã«ó¡¹?1ÛãõóÏ¢,  İÎï³ó³ªÎ«Á«±«Ã«È?ªêíŞªŞªÇ803m ò¢ù»?6?àÊ¡¸«ï?«ë«É«««Ã«×¡¤«­«ç«ó«®«¸«ã«ó¡¹?1ÛãõóÏ¢,  ÍöÍëê®ªŞªÇ1.9km"
"28734","en","Baekbeom Square Park","https://english.visitseoul.net/nature/Baekbeom-Square-Park/ENP028656?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP028656","100-873 100-5, Hoehyeon-dong 1(il)-ga, Jung-gu, Seoul ","04633 49-4, Toegye-ro 8-gil, Jung-gu, Seoul ","+82-2-3783-5900","","","","Open year round","Subway Line 4  Hoehyeon Station  Exit 4,  512m  Subway Lines 1/4/Gyeongui-Jungang /Airport Railroad  Seoul Station  Exit 10,  679m"
"9992","en","Noeul Campground","https://english.visitseoul.net/nature/Noeul-Campground/ENP009991?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP009991","121-250 Sangam-dong, Mapo-gu, Seoul 481-6 ","03900 108-1, Haneulgongwon-ro, Mapo-gu, Seoul ","+82-2-304-3213","http://english.seoul.go.kr/life-information/natural-attractions-parks/parks/","14:00 ~ 12:00 ","Tue - Sun (April 1 to November 30)","Mondays (If Monday falls on a holiday, closed the following day; if Monday is part of an extended holiday, closed the day after the holiday ends).","Subway Line 6   World Cup Stadium Station  Exit 1,  814m (The Maengkkongi Electric Car Tickets) Take the Maengkkongi Electric Car to reach the Noeul Park camping site. "
"16409","en","Seokchon Lake at Night","https://english.visitseoul.net/nature/SeokchonLakeatNight/ENP016328?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP016328"," 47, Jamsil-dong, Songpa-gu, Seoul ","05608 136, Samhaksa-ro, Songpa-gu, Seoul ","+82-2-412-0190","","Daily","","","Subway Lines 2/8  Jamsil Station  Exits 2,  280m"
"51185","ja","«è«ó«Ş«µ«ó(×£Ø©ß£)«¹«««¤«¦«©?«¯î÷ØĞ÷»","https://japanese.visitseoul.net/nature/YongmasanSkywalk/JPP998h6q?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP998h6q"," «½«¦«ëã¼«Á«å«ó«Ê«ó(ñéÕÈ)?«ß«ç«ó«â«¯«È«ó(ØüÙÌÔ×)«½«¦«ë«È«¥«ë«ì«®«ë4«³?«¹(«Ş«ó«¦«µ«ó(ØÎéØß£)¡¤«è«ó«Ş«µ«ó(×£Ø©ß£))?ªÎ«è«ó«Ş«µ«ó(×£Ø©ß£)«¹«««¤«¦«©?«¯î÷ØĞ÷» ","02196 «½«¦«ëã¼«Á«å«ó«Ê«ó(ñéÕÈ)?«ß«ç«ó«â«¯«È«ó(ØüÙÌÔ×)«½«¦«ë«È«¥«ë«ì«®«ë4«³?«¹(«Ş«ó«¦«µ«ó(ØÎéØß£)¡¤«è«ó«Ş«µ«ó(×£Ø©ß£))?ªÎ«è«ó«Ş«µ«ó(×£Ø©ß£)«¹«««¤«¦«©?«¯î÷ØĞ÷» ","+82-2-2094-2382","https://gil.seoul.go.kr/index.do","ã¼ÚÅ××éÄ«â«Ë«¿«ê«ó«°Ñ¢Êà 9:00-17:00 ×üãÁËÒÛ¯(2025Ò´11êÅ28ìíªŞªÇ)  *ª½ªÎı­¡¢îïØüËÒÛ¯åøïÒ","","","ò¢ù»?7?àÊ¡¸«µ«¬«¸«ç«ó(?ßäÜ»êÂ)¡¹?4ÛãõóÏ¢ 2.4km"
"4820","ja","İÁ«½«¦«ëÙÓªÎßµ","https://japanese.visitseoul.net/nature/dream-forest-jp/JPP004820?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP004820"," «½«¦«ëã¼Ë°İÁ?ÛàÔ× ß£28-6"," «½«¦«ëã¼«««ó«Ö«¯(Ë°İÁ)?«¦«©«ë«²«í173 (ÛàÔ×)","+82-2-2289-4000","https://parks.seoul.go.kr/template/sub/dreamforest.do","?ìí 00:00~24:00","","","ò¢ù»?6?àÊ¡¸«È«ë«´«¸¡¹? 3ÛãõóÏ¢,  1.5km"
"2169","zh-CN","æ£ëø?Íë?","https://chinese.visitseoul.net/nature/æ£ëø?Íë?/CNP002161?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP002161","150-010 âÏ?çµÔôøİ?æ£ëø?Ô× ","07243 âÏ?ã¼çµÔôøİ?æ£ëøÍë?ÖØ68 ","+82-2-761-4078","http://parks.seoul.go.kr/template/sub/yeouido.do","","","","ò¢? 5/9??  æ£ëø?ó×  3?õóÏ¢,  651m"
"51918","en","Yeonhui Forest Rest Area","https://english.visitseoul.net/nature/Yeonhui-Forest-Rest-Area/ENPyia5so?utm_source=seoulopendata&utm_medium=nature&utm_content=ENPyia5so"," Yeonhui-dong, Seodaemun-gu, Seoul ","03718 Yeonhui-dong, Seodaemun-gu, Seoul ","ParksandGreenSpacesDivision(ParkManagementTeam)02-330-1354","https://www.sdm.go.kr/culture/attraction/sub2110.do","","Open at all times ","Open all year round ","Subway Line 3, Hongje Station, Exit 3, take village bus Seodaemun 04, get off at Seodaemun Public Health Center Annex & Hongje Waterfall stop, 706m on foot "
"5034","ja","«è«¤«É(æ£ëøÓö)«»«Ã«««óßæ÷¾Íëê®","https://japanese.visitseoul.net/nature/Yeouido-Saetgang-Ecological-Park-JP/JPP005032?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP005032","150-913 «½«¦«ëã¼çµÔôøİ?æ£ëøÓöÔ× 4-9","07323 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«¤«É«ó«í48 (æ£ëøÓöÔ×)","+82-2-3780-0561","http://japanese.seoul.go.kr/%e6%9c%8d%e5%8b%99/%e3%82%ab%e3%83%ab%e3%83%81%e3%83%a3%e3%83%bc%e3%82%a8%e3%83%b3%e3%82%b8%e3%83%a7%e3%82%a4/%e5%b7%9d/00-%e6%bc%a2%e6%b1%9f%e5%85%ac%e5%9c%92/","êÅèøìí?ìíèøìí","","","ò¢ù»?9?àÊ/«·«ó«ê«ààÊ¡¸«»«Ã«««ó¡¹?4ÛãõóÏ¢,  643m"
"31931","en","Nodeul Island","https://english.visitseoul.net/nature/Nodeul-Island/ENP031922?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP031922","140-030 302-146, Ichon-dong, Yongsan-gu, Seoul ","04427 445, Yangnyeong-ro, Yongsan-gu, Seoul ","+82-2-749-4500","https://english.nodeul.org/","Outdoor space and facilities open 24 hours. March-October: Tue-Fri 10:00 - 21:00 (KST) / Weekends & Holidays 10:00 - 22:00 (KST) November-February: Tue-Sun 10:00 - 20:00 (KST)","",""," Subway Line 1, Yongsan Station, Exit 1. Walk to Sinyongsan Station Bus Stop (03-004) ¡æ take bus towards Nodeulseom Island ¡æ get off at Nodeulseom Island Bus Stop (03-340) ¡æ walk 125m   Subway Line 4, Sinyongsan Station, Exit 3. Walk to Sinyongsan Station Bus Stop (03-004) ¡æ take bus towards Nodeulseom Island ¡æ get off at Nodeulseom Island Bus Stop (03-340) ¡æ walk 125m Subway Line 9, Nodeul Station, Exit 2,  738m"
"16351","ja","«×«¬«¯«µ«ó(İÁä¿ß£)å¨ÌØ","https://japanese.visitseoul.net/nature/bugaksan-mountain-at-night-jp/JPP016324?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016324"," «½«¦«ëñ£ÖØ?øÁóãÔ×ß£6-17 ","03010 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«×«¬«Ã«µ«ó«í267  (øÁóÚÔ×) ","+82-2-730-9924","","3êÅ?4êÅ/9êÅ?10êÅ 7:00-18:00£¨ìıß£ªÏ16:00ªŞªÇ£© 5êÅ?8êÅ 7:00-19:00£¨ìıß£ªÏ17:00ªŞªÇ£© 11êÅ?2êÅ 9:00-17:00£¨ìıß£ªÏ15:00ªŞªÇ£©","","","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙİ¤«½«¦«ë??)¡¹3ÛãõóÏ¢,  7212Ûã¡¢7022Ûã¡¢1020Ûã«Ğ«¹ªË?ó³ª·¡¢¡¸«Á«ã«ÏÚ¦ßÇ.«æ«ó«É«ó«¸«åÙş?Î½¡¹ïÎ×ºá¶ªÇù»ó³ı­¡¢«×«¬«¯«µ«ó(İÁä¿ß£)ğ¢ß¾ªŞªÇå³807m"
